Địa chỉ,Phường/Xã/Thị trấn,Quận/Huyện,Diện tích (m²),Mức giá (tỷ),Giá tiền (triệu/m²),Mặt tiền(m),Đường vào(m),Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất
"Đường Hà Trì, Phường Kiến Hưng, Hà Đông, Hà Nội",Phường Kiến Hưng,Hà Đông,95,16.5,173.68,5,18,Đông,Đông,4,5,2,Đã có sổ đỏ,Cơ bản
"Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,40,14,350,4,8,,,7,4,4,Đã có sổ đỏ,
"Đường Đội Cấn, Phường Liễu Giai, Ba Đình, Hà Nội",Phường Liễu Giai,Ba Đình,28,5.85,208.93,33,2,Đông,Đông,5,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",Phường Xuân La,Tây Hồ,85,19,223.53,5.5,3.5,,,7,1,1,Đã có sổ đỏ,Đầy đủ
"Phố Xã Đàn, Phường Phương Liên, Đống Đa, Hà Nội",Phường Phương Liên,Đống Đa,30,11.2,373.33,,,,Đông - Nam,,,3,Đã có sổ đỏ,Đầy đủ
"Phường Vạn Phúc, Hà Đông, Hà Nội",Phường Vạn Phúc,Hà Đông,42,6.3,150,3.3,,Đông,Đông,3,3,2,Đã có sổ đỏ,Cơ bản
"Đường Núi Trúc, Phường Kim Mã, Ba Đình, Hà Nội",Phường Kim Mã,Ba Đình,87,27,307.87,6.5,10,,,3,3,,Đã có sổ đỏ,Đầy đủ
"Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội",Phường Thịnh Quang,Đống Đa,55,8.8,160,4,4,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Đê Tô Hoàng, Phường Cầu Dền, Hai Bà Trưng, Hà Nội",Phường Cầu Dền,Hai Bà Trưng,22,3.95,179.54,3,2,Đông - Bắc,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Nhà 1A Ngõ 31/7, Đường Phố Lụa, Phường Vạn Phúc, Hà Đông, Hà Nội",Phường Vạn Phúc,Hà Đông,47,6.95,147.87,4,2,Đông - Bắc,Đông - Bắc,6,3,3,Đã có sổ đỏ,Full nội thất xịn
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",Phường Thạch Bàn,Long Biên,38,4.6,121.05,,,,,5,3,4,Đã có sổ đỏ,
"đường Võng Thị, Phường Thụy Khuê, Tây Hồ, Hà Nội",Phường Thụy Khuê,Tây Hồ,50,15,300,,3,,,7,8,9,Đã có sổ đỏ,Đầy đủ
"1A Ngõ 31/7, Đường Phố Lụ, Phường Vạn Phúc, Hà Đông, Hà Nội",Phường Vạn Phúc,Hà Đông,30,6.95,231.67,4,2,Đông - Bắc,Đông - Bắc,6,3,3,Đã có sổ đỏ,Full nội thất xịn
"Đường Lạc Nghiệp, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",Phường Thanh Nhàn,Hai Bà Trưng,32,10.9,340.62,,,,,4,,,Đã có sổ đỏ,Cơ bản
"Đường Huỳnh Thúc Kháng, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,44,,7.96,3.6,5,Đông - Bắc,Đông - Bắc,6,4,5,Đã có sổ đỏ,Không nội thất
"1a Ngõ 31/7, Đường Phố Lụa, Phường Vạn Phúc, Hà Đông, Hà Nội",Phường Vạn Phúc,Hà Đông,47,6.95,146.32,4,2,Đông - Bắc,Đông - Bắc,6,3,3,Đã có sổ đỏ,Full nội thất xịn
"Đường Âu Cơ, Phường Yên Phụ, Tây Hồ, Hà Nội",Phường Yên Phụ,Tây Hồ,85,11.5,135.29,4.5,,,,,,,Đã có sổ đỏ,
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội",Phường Gia Thụy,Quận Long Biên,54,17.68,327.41,,,,,,,,Chưa sổ,
"Him Lam Vạn Phúc, Tố Hữu, Vạn Phúc, Hà Đông, Hà Nội",Vạn Phúc,Hà Đông,49,8.3,,10.4,6,,,,,,Đã có sổ đỏ,
"Đường Âu Cơ, Phường Yên Phụ, Tây Hồ, Hà Nội",Phường Yên Phụ,Tây Hồ,85,11.5,135.29,4.5,,,,,,,Đã có sổ đỏ,
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội",Phường Gia Thụy,Quận Long Biên,54,17.68,327.41,,,,,,,,Chưa sổ,
"Him Lam Vạn Phúc, Tố Hữu, Vạn Phúc, Hà Đông, Hà Nội",Vạn Phúc,Hà Đông,49,8.3,,10.4,6,,,,,,Đã có sổ đỏ,
"Đường Ngô Quyền, Phường Vạn Phúc, Hà Đông, Hà Nội",Phường Vạn Phúc,Hà Đông,46,7.7,167.39,4,,,,4,4,5,Đã có sổ đỏ,
"Đường Cù Chính Lan, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,82,17.8,217.07,4.5,6,,,4,5,5,Đã có sổ đỏ,
"Đường Y Sơn, Phường Đồng Mai, Hà Đông, Hà Nội",Phường Đồng Mai,Hà Đông,36,3.65,101.39,,,,,5,3,3,Đã có sổ đỏ,Cơ bản
"Phường Phú Lãm, Hà Đông, Hà Nội",Phường Phú Lãm,Hà Đông,58,12.8,220.69,4.1,,,,7,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,70,10.6,151.43,5.6,,,,4,4,3,Đã có sổ đỏ,Cơ bản
"Đường Tam Trinh, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Phường Hoàng Văn Thụ,Hoàng Mai,35,8.1,231.43,,,,,5,4,,Đã có sổ đỏ,Đầy đủ
"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",Phường Bạch Mai,Hai Bà Trưng,39,6.7,171.8,3.4,3,Đông,Nam,5,4,2,Đã có sổ đỏ,Đầy đủ
"Đường Phan Đình Giót, Phường Phương Liệt, Thanh Xuân, Hà Nội",Phường Phương Liệt,Thanh Xuân,10,29.5,273.15,6.1,8,,,6,,,Đã có sổ đỏ,Đầy đủ
"Thịnh Hào 3, Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",Phường Hàng Bột,Đống Đa,45,5.7,126.67,4,2,Đông,Nam,5,6,3,Chưa sổ,Cơ bản
"Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",Xã Thanh Liệt,Thanh Trì,14,14.8,102.07,,,,,,,,Chưa sổ,
"Đại Thành, Quốc Oai, Hà Nội",Đại Thành,Quốc Oai,50,2.8,56,3.8,4,,,4,4,4,Đã có sổ đỏ,
"Ngõ 206, Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,35,4.95,141.43,,3,,,5,3,4,Đã có sổ đỏ,Đầy đủ.
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",Phường Tân Mai,Hoàng Mai,17,1.75,102.94,,,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,48,12.3,256.25,4,,,,4,4,4,Đã có sổ đỏ,Cơ bản
"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,73,20.5,280.82,4.8,,,,8,1,1,Đã có sổ đỏ,Đầy đủ
"Phường Ngã Tư Sở, Đống Đa, Hà Nội",Phường Ngã Tư Sở,Đống Đa,45,11.23,249.64,4.5,2.5,,,7,1,1,Đã có sổ đỏ,Đầy đủ
"Ngõ Tân Lập, Phố Chùa Quỳnh, Phường Quỳnh Mai, Hai Bà Trưng, Hà Nội",Phường Quỳnh Mai,Hai Bà Trưng,16,15,93.75,,,,,,,,Đã có sổ đỏ,
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",Xã Tả Thanh Oai,Thanh Trì,36,,,,,,,,,,Chưa sổ,
"Đường Bát Khối, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,31,6.1,196.77,,,,,,,,Đã có sổ đỏ,
"Đường Âu Cơ, Phường Tứ Liên, Tây Hồ, Hà Nội",Phường Tứ Liên,Tây Hồ,79,18.68,236.46,5,4,,,4,4,5,Đã có sổ đỏ,
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",Phường Kiến Hưng,Hà Đông,60,13,216.67,5,16,,,4,5,4,Đã có sổ đỏ,Cơ bản
"Đường Giang Văn Minh, Phường Kim Mã, Ba Đình, Hà Nội",Phường Kim Mã,Ba Đình,52,15.8,303.85,4,,Đông,Nam,5,4,3,Đã có sổ đỏ,Đầy đủ
"Đường 422, Xã Vân Canh, Hoài Đức, Hà Nội",Xã Vân Canh,Hoài Đức,32,3.9,121.88,3.6,2.5,,Đông - Bắc,4,4,3,Đã có sổ đỏ,Cơ bản
"Phố Phố Vọng, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",Phường Đồng Tâm,Hai Bà Trưng,36,5.5,152.78,3.6,3,Đông - Nam,Nam,5,4,5,Đã có sổ đỏ,Đầy đủ
"Phường Kim Mã, Ba Đình, Hà Nội",Phường Kim Mã,Ba Đình,77,18.5,240.26,,,,,8,1,1,Đã có sổ đỏ,Đầy đủ.
"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",Phường Đại Kim,Hoàng Mai,38,6.5,171.05,4.2,4,,,5,5,,Đã có sổ đỏ,
"Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",Phường Xuân La,Tây Hồ,40,6.9,172.5,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Phố Đại La, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",Phường Đồng Tâm,Hai Bà Trưng,30,5.48,182.67,4,2,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Dương Quảng Hàm, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,44,9.5,215.91,3.6,,,,,,,Đã có sổ đỏ,
"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",Phường Nghĩa Tân,Cầu Giấy,54,14.48,268.15,4,6,,,7,4,6,Đã có sổ đỏ,Đầy đủ
"Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",Phường Yên Hòa,Cầu Giấy,69,35.5,514.49,5.1,8,,,5,4,4,Đã có sổ đỏ,
"Đường Nguyễn Chánh, Phường Yên Hòa, Cầu Giấy, Hà Nội",Phường Yên Hòa,Cầu Giấy,57,16,280.7,4.5,,,,5,,,Đã có sổ đỏ,Cơ bản
"Ngõ 164, Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,60,14.65,244.17,4.5,,,,4,4,3,Đã có sổ đỏ,Cơ bản
"Phố Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Phường Dịch Vọng Hậu,Cầu Giấy,57,13.9,243.86,5.5,5,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,75,11.9,158.67,4.5,,,,5,6,6,Đã có sổ đỏ,Cơ bản
"Ngõ 1, Phố Phạm Tuấn Tài, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",Phường Nghĩa Tân,Cầu Giấy,63,20,317.46,,,,,7,,,Đã có sổ đỏ,Cơ bản
"Đường Nguyễn Trãi, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,63,11.5,182.54,3.7,5,Đông - Nam,Đông - Nam,5,4,3,Đã có sổ đỏ,
"Phố Giảng Võ, Phường Cát Linh, Đống Đa, Hà Nội",Phường Cát Linh,Đống Đa,90,23,255.56,5,7,,,7,6,7,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Cơ Thạch, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",Phường Cầu Diễn,Nam Từ Liêm,54,9.6,177.78,5,3,,,,4,,Đã có sổ đỏ,Đầy đủ
"Phường Yên Hòa, Cầu Giấy, Hà Nội",Phường Yên Hòa,Cầu Giấy,44,13.9,315.91,4.5,,,,6,,,Đã có sổ đỏ,
"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,35,7,200,5,3,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Phan Đình Giót, Phường Phương Liệt, Thanh Xuân, Hà Nội",Phường Phương Liệt,Thanh Xuân,12,27,216,6.5,20,,,,,,Đã có sổ đỏ,Cơ bản
"Đường La Tinh, Xã Đông La, Hoài Đức, Hà Nội",Xã Đông La,Hoài Đức,32,3,93.75,4,5,,,5,4,3,Đã có sổ đỏ,
"Đường Thượng Phúc, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",Xã Tả Thanh Oai,Thanh Trì,32,3.1,96.88,3.5,3,Bắc,,4,3,4,Đã có sổ đỏ,Cơ bản.
"Đường Quốc lộ 6, Xã Phụng Châu, Chương Mỹ, Hà Nội",Xã Phụng Châu,Chương Mỹ,32,2.5,78.12,5,3,,,4,3,3,Đã có sổ đỏ,Cơ bản
"Đông La, Hoài Đức, Hà Nội",Đông La,Hoài Đức,37,4.6,124.32,,3,,,6,4,5,Đã có sổ đỏ,Cơ bản
"Đường Ngũ Hiệp, Xã Đông Mỹ, Thanh Trì, Hà Nội",Xã Đông Mỹ,Thanh Trì,70,6.4,91.43,4,6,,,5,4,3,Đã có sổ đỏ,Cơ bản
"Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",Xã Thanh Liệt,Thanh Trì,25,3.7,148,3.5,3,,,5,3,3,Đã có sổ đỏ,Đầy đủ
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,58,9.3,160.34,5.2,,,,4,5,4,Đã có sổ đỏ,Đầy đủ
"Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",Xã Thanh Liệt,Thanh Trì,28,3.7,132.14,4,3,Tây - Bắc,Tây - Bắc,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Đội Cấn, Phường Liễu Giai, Ba Đình, Hà Nội",Phường Liễu Giai,Ba Đình,25,5.85,234,3,3,Tây - Bắc,Tây - Bắc,5,3,3,Đã có sổ đỏ,Đầy đủ
"Số 9 ngõ 72/1/138, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",Phường Thượng Đình,Thanh Xuân,50,7.25,145,3.5,2,Đông - Nam,Đông - Nam,6,9,1,Đã có sổ đỏ,Đầy đủ
"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",Phường Quan Hoa,Cầu Giấy,40,11.2,280,,,,,7,,,Đã có sổ đỏ,
"Phố Phố Vọng, Phường Trương Định, Hai Bà Trưng, Hà Nội",Phường Trương Định,Hai Bà Trưng,88,8.2,93.18,,,,,4,4,4,Đã có sổ đỏ,Cơ bản
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",Phường Tân Mai,Hoàng Mai,17,1.75,102.94,4,25,,,4,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,85,17,199.74,8.6,,,,3,,3,Đã có sổ đỏ,
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,55,6.95,126.36,4.5,,,,5,5,4,Đã có sổ đỏ,Đầy đủ
"Giang Lẻ, Biên Giang, Hà Đông, Hà Nội",Biên Giang,Hà Đông,33,3.25,98.48,4,3,Đông,Đông,5,3,3,Đã có sổ đỏ,
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",Phường Trương Định,Hai Bà Trưng,62,8.5,137.1,5.5,,,,3,3,3,Đã có sổ đỏ,Đầy đủ
"Xã Đại Thành, Quốc Oai, Hà Nội",Xã Đại Thành,Quốc Oai,50,3.25,65,3.5,3,,,3,3,2,Đã có sổ đỏ,
"Xã La Phù, Hoài Đức, Hà Nội",Xã La Phù,Hoài Đức,32,3.5,109.38,4,3,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,55,14.5,263.64,4.1,,,,5,5,,Đã có sổ đỏ,
"Xã Song Phương, Hoài Đức, Hà Nội",Xã Song Phương,Hoài Đức,46,3,65.22,4.5,3,,,4,4,3,Đã có sổ đỏ,Cơ bản
"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,Nam Từ Liêm,11,23.8,203.42,,,,,,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",Phường Khương Mai,Thanh Xuân,64,11.5,179.69,4.1,6,,,4,4,3,Đã có sổ đỏ,Cơ bản
"Ngõ 12, Đường Đặng Thai Mai, Phường Quảng An, Tây Hồ, Hà Nội",Phường Quảng An,Tây Hồ,15,39.5,263.33,6,6,,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",Phường Ô Chợ Dừa,Đống Đa,70,19.6,280,45,5,,,5,5,4,Đã có sổ đỏ,Đầy đủ
"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",Phường Đại Kim,Hoàng Mai,10,12.2,116.19,8,,,,3,4,2,Đã có sổ đỏ,
"đường Liên Mạc, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",Phường Liên Mạc,Bắc Từ Liêm,33,2.5,75.76,3.5,2.5,Tây - Nam,Tây - Nam,2,2,2,Đã có sổ đỏ,Cơ bản.
"Ngõ 31, Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội",Phường Quảng An,Tây Hồ,45,12.9,286.67,5,2.5,Tây - Bắc,,7,6,7,Đã có sổ đỏ,Đầy đủ
"Phường La Khê, Hà Đông, Hà Nội",Phường La Khê,Hà Đông,50,12.6,252,,,,,5,6,5,Đã có sổ đỏ,Đầy đủ
"Ngõ 20, Đường Nguyễn Chánh, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,60,18.5,308.33,14,,,,5,4,5,Đã có sổ đỏ,Đầy đủ
"Phố Nguyễn Thanh Bình, Phường La Khê, Hà Đông, Hà Nội",Phường La Khê,Hà Đông,50,11.8,236,4,,,,5,6,5,Đã có sổ đỏ,Cơ bản
"Ngõ 35, Đường Đặng Thai Mai, Phường Quảng An, Tây Hồ, Hà Nội",Phường Quảng An,Tây Hồ,79,22,278.48,6,18,Nam,,2,2,2,Đã có sổ đỏ,Đầy đủ
"Đường Thụy Khuê, Phường Bưởi, Tây Hồ, Hà Nội",Phường Bưởi,Tây Hồ,39,6.35,162.82,5,,,,4,4,,Đã có sổ đỏ,Cơ bản
"Phường Việt Hưng, Long Biên, Hà Nội",Phường Việt Hưng,Long Biên,80,25.5,318.75,5,11,Đông - Nam,Đông - Nam,6,5,4,Đã có sổ đỏ,Đầy đủ
"Đường Quốc lộ 21A(Quốc lộ 21), Phường Phú Lương, Hà Đông, Hà Nội",Phường Phú Lương,Hà Đông,40,5.5,137.5,3.55,2.5,Bắc,,3,3,3,Đã có sổ đỏ,
"Đường Cầu Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",Phường Phú Diễn,Bắc Từ Liêm,56,4.3,76.79,,3.5,,,3,3,2,Đã có sổ đỏ,Đầy đủ
"Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Phường Đại Kim,Quận Hoàng Mai,65,16.9,260,5,8,,,4,6,6,Đã có sổ đỏ,Cơ bản.
"Đường Lĩnh Nam, Phường Mai Động, Hoàng Mai, Hà Nội",Phường Mai Động,Hoàng Mai,86,15.4,179.07,5,8,,,5,8,5,Đã có sổ đỏ,Đầy đủ
"Đường Dương Quảng Hàm, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,80,19.5,243.75,5,5,Đông - Nam,,7,1,1,Đã có sổ đỏ,Đầy đủ
"Phố Kim Mã, Phường Ngọc Khánh, Ba Đình, Hà Nội",Phường Ngọc Khánh,Ba Đình,13,31.8,244.62,8,5,,,9,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Vũ Trọng Phụng, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,50,11.2,224,,3,,,5,6,4,Đã có sổ đỏ,Cơ bản
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,90,16.3,181.11,5,6,,,5,6,5,Đã có sổ đỏ,Đầy đủ
"Đường Lê Lợi, Phường Lê Lợi, Sơn Tây, Hà Nội",Phường Lê Lợi,Sơn Tây,45,2.75,,,,,,,,,Đã có sổ đỏ,Đầy đủ
"Ngõ 118, Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",Phường Quan Hoa,Cầu Giấy,80,20,250,5,8,,,6,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Khánh Toàn, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,65,19,292,,,,,,,,Đã có sổ đỏ,
"Đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",Phường Bưởi,Tây Hồ,70,13.8,197.14,6,3,,,7,1,1,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Văn Huyên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,70,19.6,280,4.5,7,,,5,6,5,Đã có sổ đỏ,Đầy đủ
"Đông La, Hoài Đức, Hà Nội",Đông La,Hoài Đức,47,4.8,102.13,,3,,,5,4,4,Đã có sổ đỏ,Cơ bản
"Đường Nguyễn An Ninh, Phường Trương Định, Hai Bà Trưng, Hà Nội",Phường Trương Định,Hai Bà Trưng,53,10.8,203.77,3.5,3,,,4,3,3,Đã có sổ đỏ,
"Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",Phường Phú Đô,Nam Từ Liêm,52,8.2,157.69,4.6,,,,4,5,4,Đã có sổ đỏ,Cơ bản
"Đường Võ Chí Công, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,16,23,139.39,8.1,3.5,,,4,5,4,Đã có sổ đỏ,
"Đường Nguyễn Khánh Toàn, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,55,16.8,305.46,4.5,6,,,8,7,8,Đã có sổ đỏ,Đầy đủ
"Tổ 12, Đường Yên Nghĩa, Phường Yên Nghĩa, Hà Đông, Hà Nội",Phường Yên Nghĩa,Hà Đông,32,4.28,133.75,,2,,,5,3,4,Đã có sổ đỏ,Cơ bản
"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",Phường Quan Hoa,Cầu Giấy,55,16.2,294.54,4,7,,,7,6,7,Đã có sổ đỏ,Đầy đủ
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,47,8.6,182.98,,3,,,4,4,,Đã có sổ đỏ,Đầy đủ
"Phường Đồng Mai, Hà Đông, Hà Nội",Phường Đồng Mai,Hà Đông,31,2.78,89.68,,3,,,4,3,4,Đã có sổ đỏ,Cơ bản
"Đường Quang Trung, Phường Phú Lương, Hà Đông, Hà Nội",Phường Phú Lương,Hà Đông,40,5.5,137.5,3.55,2.5,Bắc,,3,3,3,Đã có sổ đỏ,
"Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",Phường Xuân La,Tây Hồ,16,23,139.39,8.1,3.5,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội.",Phường Láng Thượng,Đống Đa,10,,,4.4,4,,,7,2,2,Đã có sổ đỏ,Đầy đủ
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",Phường Mai Dịch,Cầu Giấy,45,,,4.3,3.6,,,6,4,6,Đã có sổ đỏ,Đầy đủ
"Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội",Phường Bưởi,Tây Hồ,76,,,6,20,,,5,6,6,Đã có sổ đỏ,Cơ bản
"Phố Xã Đàn, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",Phường Ô Chợ Dừa,Đống Đa,34,6.35,186.76,4,,,,,,,Chưa sổ,
"Đường Nguyễn Quý Đức, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",Phường Thanh Xuân Bắc,Thanh Xuân,45,10,222.22,4.3,,,,5,5,5,Đã có sổ đỏ,Đầy đủ.
"Đường Xuân Phương, Phường Xuân Phương, Nam Từ Liêm, Hà Nội",Phường Xuân Phương,Nam Từ Liêm,45,10,222.22,,,,,7,,,Đã có sổ đỏ,"Nội thất cao cấp, chủ nhà là kiến trúc sư cẩn thận chau chuốt từng chi tiết nhỏ."
"Phường Văn Quán, Hà Đông, Hà Nội",Phường Văn Quán,Hà Đông,48,5.4,112.5,,,,,4,4,,Đã có sổ đỏ,
"Đường Đê Trần Khát Chân, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",Phường Thanh Lương,Hai Bà Trưng,45,10.5,233.33,4,,,,4,4,4,Chưa sổ,
"Ngõ 83, Đường Đào Tấn, Phường Ngọc Khánh, Ba Đình, Hà Nội",Phường Ngọc Khánh,Ba Đình,45,8.9,197.78,,,,,5,6,4,Đã có sổ đỏ,Đầy đủ
"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,48,9.5,197.92,5.2,,,,4,,3,Đã có sổ đỏ,Cơ bản
"Đường Nguyễn Khang, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,54,15.9,294.44,,,,,5,6,5,Đã có sổ đỏ,Cơ bản
"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",Phường Ngọc Hà,Ba Đình,95,3.8,40,4,4,,,1,3,2,Đã có sổ đỏ,Đầy đủ
"Đường Phúc Lợi, Phường Giang Biên, Long Biên, Hà Nội",Phường Giang Biên,Long Biên,35,6,171.43,4,5,,,6,5,5,Đã có sổ đỏ,Cơ bản full nội thất.
"Đông La, Hoài Đức, Hà Nội",Đông La,Hoài Đức,30,3.35,111.67,,3,,,3,3,3,Đã có sổ đỏ,Đầy đủ
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,42,10.45,248.81,4,,,,5,6,4,Đã có sổ đỏ,Cơ bản
"Ngõ 35 Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,Nam Từ Liêm,45,8,177.78,,,,,,,,Đã có sổ đỏ,
